"","grid_no","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"83",100146,2.34265269514442,3.05389469657442,2.9417598680524,1.35973097254682,1.65196335263937,3.50689394137951,0.827982931561326,4.52418810372872,3.18900310421553,4.02524551100815,6.51584257799313,2.97041396406286,5.43374911769913
"84",100151,2.65068533444163,1.25382455103048,2.72338937625381,1.22933898298427,1.78532004068514,5.51278186357853,1.03452811468464,3.19943434417178,2.81592314194046,2.989548919418,5.21909160103167,2.37618268393455,3.88926391360458
"85",101150,2.29487093934603,1.8697021107535,2.23034266634491,1.42423489401508,1.7193890203588,3.54221922786592,0.921286616596111,3.23509604868245,2.57932480849281,3.4684443452118,5.14525445896283,3.10924251594526,4.11749060344433
"86",103148,2.00041545329994,1.54775024431871,2.15014157647809,1.28265772985858,1.71281298379635,3.30653278241895,0.545480644850371,4.5748301762927,3.0305331738262,2.98703951117104,4.40616472689037,1.7896922655009,2.71072456642268
"87",84167,5.0227450229627,7.13053482628811,8.52998370110151,5.1018949860068,8.50967275975865,6.58201023020827,8.27753000960707,7.67923086815488,6.05450606912548,4.55773747180216,7.36906438905904,9.45302448506249,7.30803945481536
"88",84169,3.77309192958676,6.3962262212544,7.08554539797207,5.15939473282685,8.26674663141024,6.54277622989919,6.88404791727046,10.020554723385,7.51326913557837,4.612124770804,5.42429333650609,7.32542375394364,5.94900547048816
"89",85168,5.00444083166494,5.99952989850368,8.66271634259572,5.27655138729792,9.14610462458702,6.53457599556501,8.87956576391427,7.58021951471971,5.69970601312343,5.26410882514044,8.14790786707187,8.04641578755814,6.52208712746814
"90",85171,5.29196731635666,8.83925073477714,7.07185466658422,5.22465797247465,8.12865463628866,6.90259502357242,7.23734727577519,10.2092221159015,7.51574707422038,4.94600281276812,5.53872612182229,10.357713548428,5.6956142731316
"91",87171,5.63215956236461,9.12955030514038,6.97984627059599,4.4551637734652,9.16373445544469,5.81369369700476,8.31292601455465,7.63677229129481,6.78936088413516,4.83436595213679,6.28043198421783,9.39882499641502,5.87349018139264
"92",88167,6.74334534468279,6.61669219697804,7.8318881153129,4.81080241756735,6.18234703135942,3.1699471301864,6.34911318866573,10.1143733948699,3.4023973194432,5.13309231316271,6.99028152732982,9.04145911898174,4.85436725648552
"93",90167,5.90401635986091,6.13039149320661,7.18801424033658,4.03480803752079,7.08737380685663,6.49809619811052,6.48878041624764,8.20911416122439,4.37693704374307,4.03123916042768,7.25311371897127,8.71586321874343,5.16951091245996
"94",92169,6.20074771003141,5.28825892727652,7.35069573262032,4.98984506985651,10.1740136511695,6.29474110852644,7.54631247892134,10.9563240638519,5.2963400683896,5.79853268049892,7.44603581417518,9.26313643625665,3.49120164486228
"95",93170,6.64027231134997,5.13114599418232,7.67479627479644,4.31130068818218,9.98606997490214,6.21180405175233,7.25320499896657,10.3424456178396,4.98300493699244,5.68182944057899,7.31640503584412,9.23155270577735,3.49120164486228
"96",95169,6.74129701573514,4.50955427169246,9.32045005656367,4.58125056374622,6.78254960659912,7.49998107397117,6.64028952166526,9.32540191336348,4.14287746560052,6.02819206891739,7.38585369852833,8.23812608238715,5.56636410277173
"97",91186,5.31090851350691,5.11707744128162,8.05590796791659,7.8395892731491,10.4756544746961,4.61160725071326,9.77344902562308,9.63564358282635,7.579382884491,6.81242095393809,5.76655069528413,11.0046780687977,9.27622415649942
